id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
qh9GPo8OJa4kxJyZEQkWIQ,Wolf's Ridge Brewing,994,4.0,39.96730627055993,39.9673,-82.99730173800361,-82.9973,$$,43215,1
V25xzPlcNAtnTi_xzQvr9g,Brassica,1233,4.5,39.97638,39.97638,-83.00294,-83.00293,$$,43215,1
2qwtLyomP0QHusZvDYMvEw,Hot Chicken Takeover,1309,4.5,39.9716091678141,39.9716,-83.004353996817,-83.00435,$$,43215,1
uk0EeEv3egyPn-thIABpAg,The Pearl,962,4.0,39.97523583504577,39.97523,-83.00329911468049,-83.00329,$$,43215,1
EWUYCGW-WV7Gpj5MrwrUpA,Dirty Frank's Hot Dog Palace,1140,4.0,39.9575,39.9575,-82.99498,-82.99498,$,43215,1
RW2f2G-u4hxJaTMrmtMUHA,Fox In the Snow Cafe,1043,4.5,39.9841399,39.98413,-82.99939,-82.99939,$$,43201,1
2pNq7ui55i0fVI-jJGjzTw,Northstar Café,1185,4.5,39.98154,39.98154,-83.0046,-83.0046,$$,43201,1
OpxKTIuO6dIVfXuT2Hi82g,Marcella's,843,4.0,39.97492,39.97491,-83.00325,-83.00324,$$,43215,1
f7rCsRKOv7l54UGrBk1Ltw,Martini Modern Italian,496,4.0,39.9714399,39.97143,-83.0028301,-83.00283,$$$,43215,1
1x850xgaoampvKIG94SSEw,Tip Top Kitchen & Cocktails,586,4.0,39.96372,39.96372,-82.99871,-82.99871,$$,43215,1
iSKy41PLQl9MX3n1ujkfRw,Forno Kitchen + Bar,829,4.0,39.97699,39.97699,-83.00366,-83.00366,$$,43215,1
vecuat0jOia-CJveW3ngDw,Schmidt's Sausage Haus,1483,4.0,39.9463,39.9463,-82.99108,-82.99108,$$,43206,1
HlB6kVtJwVjZGKrBmULk0A,Tiger + Lily,347,4.0,39.96356,39.96356,-83.00021,-83.00021,$$,43215,1
OODadwHfqrUk0WAs07JBkg,Lindey's,806,4.0,39.95069,39.95069,-82.99368,-82.99368,$$$,43206,1
cJVHGsIPrwtRvTpuaSon1A,OH Pizza & Brew,404,4.0,39.9628792695248,39.96287,-82.99828949935163,-82.99828,$$,43215,1
vkKt5OWXLRXVxQMk621Oog,Nada,580,4.0,39.9685212481613,39.96852,-83.0077935859873,-83.00779,$$,43215,1
R1sIqGfKpF5f3HV3vyNsbg,The Eagle,650,4.0,39.97857,39.97857,-83.00337,-83.00337,$$,43215,1
d11mfU6H1MsMK5v2_ddWjA,District North,126,4.5,39.9651447,39.96514,-83.0006102,-83.00061,$,43215,1
otlogoNvNwTnaP1JpFsKTg,Warios Beef and Pork,101,5.0,39.968349,39.96834,-83.004962,-83.00496,$$,43215,1
JCpnFNhJR11jTKERdRL5hw,Bakersfield,716,4.0,39.97733,39.97733,-83.00374,-83.00373,$$,43215,1
baiTD2N5oXlol0IpPsopvg,Jeff Ruby's Steakhouse - Columbus,271,4.0,39.9687870480373,39.96878,-82.9994081718416,-82.9994,$$$$,43215,1
OYvlxJzux2UiY1eAjdMiFw,Barley's Brewing Company,491,4.0,39.97192,39.97191,-83.00271,-83.0027,$$,43215,1
23yAvQY95Vc-dBwFlTi3mg,Hoyo's Kitchen,105,5.0,39.971918,39.97191,-83.004316,-83.00431,,43215,1
RR35sWKWWgRUjEjrOZRbQg,Sidebar Columbus,360,4.0,39.956673,39.95667,-82.99613,-82.99612,$$,43215,1
7fHPqJu0RGpE7GjAqh4Csg,Pierogi Mountain,183,4.5,39.9655388,39.96553,-82.99184,-82.99184,$,43215,1
6KG6pQFC06qKwbOucDIWjw,The Guild House,513,4.0,39.97511912696,39.97511,-83.0029002,-83.0029,$$,43215,1
97i0dniiD6TYMSyKgV0DBg,Pat and Gracie's,229,4.0,39.9649,39.9649,-82.99171,-82.99171,$$,43215,1
kvkzkUp4fVKM0ZYK6l8DJg,Upper Cup Coffee,232,4.5,39.962524,39.96252,-82.981895,-82.98189,$,43215,1
nfOXmVIXkCwsT_0uu670Yw,Tasi Cafe,537,4.0,39.97638,39.97638,-83.00241,-83.00241,$$,43215,1
gLpl15CqEZOL7xARMjqMGQ,The Woodbury,278,4.0,39.959312,39.95931,-82.9943732,-82.99437,$$,43215,1
z-ktitNH3yv_VJnSc56qtA,Arch City Tavern,442,4.5,39.98003,39.98003,-83.003814,-83.00381,$$,43215,1
ACcxaRBYNHQR8dwYt8BpKA,Lemon Grass Fusion Bistro,652,4.0,39.975296,39.97529,-83.00331,-83.00331,$$,43215,1
inDpBiMq0CMIKEwiTifdlw,Bareburger - Short North,528,3.5,39.9718867242336,39.97188,-83.0025786906481,-83.00257,$$,43215,1
qNnxQMluE0YaG1B7WMCAow,The Lox,277,4.5,39.9780502982393,39.97805,-83.003247828689,-83.00324,$,43215,1
wwuv7koL2KhXpzb7U3p1Wg,Milestone 229,555,4.0,39.9567446250216,39.95674,-83.0036865767212,-83.00368,$$,43215,1
r5rx9m7r1H3QZlcKWo5HIw,Ringside Cafe,161,4.0,39.96288,39.96288,-82.99994,-82.99993,$$,43215,1
143NEW78kBoKdpPK8UsWag,Basi Italia,327,4.5,39.9781837463379,39.97818,-83.0107192993164,-83.01071,$$$,43215,1
szDWhZlydugi_udTQCG8Mg,Condado Tacos - Columbus Commons,324,4.0,39.9593551,39.95935,-82.9997982,-82.99979,$,43215,1
YCuGxnZvDl1JFROkMS3kwg,The Walrus,478,4.0,39.9564499,39.95644,-82.99545,-82.99545,$$,43215,1
nM_9krmu73UQzBs-VsTFCA,The Elevator Brewery and Draught Haus,406,3.5,39.965692834438,39.96569,-83.0014916159655,-83.00149,$$,43215,1
6w7AO5WrIDvecSh8a_Oeyg,HangOverEasy,189,4.5,39.96314,39.96314,-82.98181,-82.98181,$$,43215,1
qa4SegtG2bWMBhJgWyU7Tw,Katalina's,1045,4.5,39.983716,39.98371,-83.015735,-83.01573,$$,43201,1
c6PwhqCOxpJruHJeid8AEQ,Rooh Columbus,159,4.5,39.9763662838036,39.97636,-83.0037052184343,-83.0037,$$$,43215,1
RWN3gD_OhblQjYGHdc44Ew,Cravings Cafe,80,4.5,39.96452,39.96452,-83.00273,-83.00273,$,43215,1
uCwFk5GqopPiPwQuOybuaA,Hai Poké,175,4.5,39.975701,39.9757,-83.003486,-83.00348,$$,43215,1
dHLwNv60qXlm1N4xgbvuqg,Little Palace Bar & Restaurant,293,4.0,39.9576759338379,39.95767,-82.9950180053711,-82.99501,$$,43215,1
Ylsg_vSBrBYLKJnhF4Kzjw,Da Levee,272,4.0,39.978134890116195,39.97813,-83.0040253671003,-83.00402,$,43215,1
goYkEWcypsBeJ-RWoRAdEA,Due Amici,293,3.5,39.96371,39.96371,-82.99891,-82.9989,$$,43215,1
o_zVuAT8i0-Ob2QdRuJ3Lg,Momo Ghar Market,133,4.5,39.97217,39.97217,-83.00416,-83.00416,$$,43215,1
hqx382sZ_5WHK8W5D4ATGQ,Hyde Park Prime Steakhouse,319,4.0,39.97401894291586,39.97401,-83.00311615121468,-83.00311,$$$,43215,1
a4OoQLUwdc_PgPa3kK6_BQ,Katzinger's Delicatessen,508,4.0,39.95262,39.95262,-82.99633,-82.99633,$$,43215,1
K1l8qMMG8Jq75_VkanRBhA,Veritas,117,4.0,39.963419217634026,39.96341,-83.0011173,-83.00111,$$$,43215,1
hO5o4HBMUsGOd14jLBwj9w,Smoked on High BBQ,247,4.5,39.946644,39.94664,-82.998144,-82.99814,$$,43206,1
Diu6-86Rb2_FKxFfmoG_Eg,Sycamore,369,4.0,39.94922665911963,39.94922,-82.99082590053075,-82.99082,$$,43206,1
